Property|Resource|Path|Name
0|0|displayName|Name
1|0|familyName|FamilyName
2|0|givenName|GivenName
3|0|middleName|MiddleName
4|1|value|Email
5|1|type|
6|2|poBox|PoBox
7|2|streetAddress|StreetAddress
8|2|extendedAddress|ExtendedAddress
9|2|city|City
10|2|region|Region
11|2|postalCode|PostalCode
12|2|country|Country
13|2|countryCode|CountryCode
14|2|type|
15|3|value|Phone
16|3|type|
17|4|name|Organization
18|4|department|Department
19|4|title|Title
20|4|jobDescription|Description
21|4|domain|Domain
22|4|location|Location
23|4|type|
